epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.174,1.43518,3.74643,0.82723,0.01015,0.63724,0.16366,0.12602,0.91041,3.88729,0.64104,0.00011817,0.00011817,0.00011817
2,187.15,1.22365,2.73097,0.72197,1,0.07548,0.24643,0.18842,0.94502,3.56733,0.62974,0.000237331,0.000237331,0.000237331
3,274.908,1.13552,1.85422,0.70823,0.77233,0.15468,0.31537,0.22759,0.98993,3.19004,0.66947,0.000348092,0.000348092,0.000348092
4,362.264,1.13513,1.57237,0.73491,0.71258,0.3191,0.39273,0.28097,1.03719,2.92347,0.69609,0.000450455,0.000450455,0.000450455
5,449.33,1.09676,1.37849,0.70219,0.74769,0.38293,0.56172,0.4067,1.01962,2.68417,0.69461,0.000544418,0.000544418,0.000544418
6,537.386,1.17955,1.21144,0.72668,0.75222,0.38065,0.67093,0.45073,1.01391,2.61174,0.70141,0.000629982,0.000629982,0.000629982
7,625.701,1.09211,1.15222,0.70865,0.68326,0.54978,0.71418,0.45465,1.13305,2.28507,0.75054,0.000707147,0.000707147,0.000707147
8,714.569,1.06547,1.0488,0.69536,0.69594,0.71288,0.77389,0.51676,1.07792,1.84987,0.7499,0.000699021,0.000699021,0.000699021
9,803.464,1.02838,1.00184,0.68463,0.72191,0.75585,0.80666,0.5536,1.04351,1.58839,0.71871,0.000669024,0.000669024,0.000669024
10,892.599,1.0441,0.94166,0.68202,0.83388,0.77175,0.84548,0.59497,1.00733,1.43975,0.70324,0.000639027,0.000639027,0.000639027
11,981.316,1.02031,0.93754,0.68742,0.85167,0.77244,0.83593,0.56137,1.06536,1.43168,0.71942,0.00060903,0.00060903,0.00060903
12,1069.12,1.01995,0.94241,0.68282,0.85369,0.8318,0.8646,0.60527,0.9969,1.2352,0.68981,0.000579033,0.000579033,0.000579033
13,1157.02,0.98299,0.89633,0.68256,0.84537,0.85995,0.89793,0.63331,0.9541,1.151,0.68082,0.000549036,0.000549036,0.000549036
14,1245.29,1.00815,0.90345,0.68856,0.88986,0.86181,0.89756,0.63505,0.97177,1.13369,0.68503,0.000519039,0.000519039,0.000519039
15,1334,0.97551,0.82418,0.66323,0.90659,0.86948,0.89348,0.64414,0.92673,1.04347,0.67555,0.000489042,0.000489042,0.000489042
16,1422.06,1.00824,0.83556,0.67192,0.8966,0.86201,0.89235,0.63311,1.04327,1.0562,0.69296,0.000459045,0.000459045,0.000459045
17,1510.7,0.99561,0.84513,0.67291,0.93018,0.90639,0.92358,0.67538,0.91337,1.00083,0.65746,0.000429048,0.000429048,0.000429048
18,1599.21,0.98293,0.80194,0.67034,0.8685,0.88812,0.89757,0.66045,0.89859,1.00206,0.65443,0.000399051,0.000399051,0.000399051
19,1688.13,0.92867,0.77603,0.6541,0.91171,0.89217,0.92451,0.67444,0.90377,0.95236,0.65639,0.000369054,0.000369054,0.000369054
20,1776.61,0.91015,0.76529,0.66028,0.89097,0.90521,0.91573,0.6666,0.90872,0.94953,0.65014,0.000339057,0.000339057,0.000339057
21,1864.07,0.98366,0.85849,0.67491,0.89305,0.87155,0.88776,0.63205,1.05968,1.05169,0.68431,0.00030906,0.00030906,0.00030906
22,1951.02,0.96051,0.83082,0.66902,0.92055,0.90073,0.92284,0.67174,0.92424,0.98248,0.65379,0.000279063,0.000279063,0.000279063
23,2037.83,0.95942,0.79092,0.66483,0.93738,0.89989,0.92513,0.66498,0.93764,0.93221,0.66028,0.000249066,0.000249066,0.000249066
24,2124.58,0.95879,0.77833,0.65445,0.92131,0.88855,0.91211,0.67268,0.90548,0.92502,0.64794,0.000219069,0.000219069,0.000219069
25,2212.14,0.94731,0.7632,0.65674,0.9303,0.87491,0.90823,0.67631,0.90773,0.9123,0.64565,0.000189072,0.000189072,0.000189072
26,2299.49,0.93716,0.75427,0.65381,0.92652,0.90477,0.9212,0.68071,0.91201,0.8955,0.64893,0.000159075,0.000159075,0.000159075
27,2386.58,0.92444,0.74268,0.64357,0.9246,0.91537,0.92538,0.68399,0.89265,0.87964,0.64655,0.000129078,0.000129078,0.000129078
28,2473.59,0.9283,0.77019,0.67213,0.91845,0.9037,0.9149,0.67392,0.92386,0.86904,0.65391,9.9081e-05,9.9081e-05,9.9081e-05
29,2560.61,0.89893,0.7278,0.64372,0.9383,0.89379,0.92173,0.68833,0.88335,0.85039,0.64325,6.9084e-05,6.9084e-05,6.9084e-05
30,2647.59,0.89701,0.72802,0.64094,0.92936,0.88622,0.91037,0.68427,0.89815,0.84663,0.64611,3.9087e-05,3.9087e-05,3.9087e-05
